番号,地点名,緯度,経度,標高,年数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,通年
11016,稚内　　　　　　　　,45.415,141.678,3,30,89,141,100,5,0,0,0,0,0,0,1,18,354
11061,声問　　　　　　　　,45.403,141.802,8,15,59,69,55,0,0,0,0,0,0,0,0,3,186
11076,浜鬼志別　　　　　　,45.335,142.17,13,30,141,173,148,4,0,0,0,0,0,0,1,37,506
11121,沼川　　　　　　　　,45.248,141.852,23,30,256,273,260,37,0,0,0,0,0,0,5,85,915
11176,豊富　　　　　　　　,45.102,141.78,14,30,187,240,188,15,0,0,0,0,0,0,4,44,668
11276,中頓別　　　　　　　,44.965,142.28,25,30,287,283,291,94,0,0,0,0,0,0,7,136,1094
11291,北見枝幸　　　　　　,44.94,142.585,7,30,226,270,268,34,0,0,0,0,0,0,2,48,839
11316,歌登　　　　　　　　,44.842,142.48,14,30,308,281,306,111,0,0,0,0,0,0,9,159,1177
12041,音威子府　　　　　　,44.727,142.265,40,30,309,283,310,193,2,0,0,0,0,0,16,223,1334
12141,美深　　　　　　　　,44.48,142.342,77,30,299,282,304,93,0,0,0,0,0,0,10,199,1181
12181,名寄　　　　　　　　,44.37,142.457,89,30,267,270,275,49,0,0,0,0,0,0,3,116,973
12231,下川　　　　　　　　,44.295,142.637,143,30,265,275,289,93,0,0,0,0,0,0,2,97,1034
12301,和寒　　　　　　　　,44.028,142.41,150,30,232,256,246,38,0,0,0,0,0,0,3,103,874
12411,上川　　　　　　　　,43.847,142.753,324,30,237,267,259,36,0,0,0,0,0,0,0,73,872
12442,旭川　　　　　　　　,43.757,142.372,120,30,195,242,196,18,0,0,0,0,0,0,0,50,699
12471,層雲峡　　　　　　　,43.753,142.93,540,30,285,278,308,155,3,0,0,0,0,0,13,167,1198
12501,東神楽　　　　　　　,43.67,142.447,211,15,25,97,76,7,0,0,0,0,0,0,0,10,216
12551,美瑛　　　　　　　　,43.588,142.493,250,30,164,233,198,15,0,0,0,0,0,0,0,32,626
12626,富良野　　　　　　　,43.333,142.4,174,30,153,220,158,6,0,0,0,0,0,0,0,22,550
12691,幾寅　　　　　　　　,43.168,142.568,350,30,129,231,204,18,0,0,0,0,0,0,0,23,625
12746,占冠　　　　　　　　,42.978,142.395,332,30,187,258,258,37,0,0,0,0,0,0,0,24,770
13121,初山別　　　　　　　,44.523,141.77,27,30,132,187,119,4,0,0,0,0,0,0,0,28,502
13181,羽幌　　　　　　　　,44.363,141.7,8,30,217,261,192,11,0,0,0,0,0,0,0,58,736
13206,古丹別　　　　　　　,44.265,141.722,15,30,259,273,269,44,0,0,0,0,0,0,0,75,952
13277,留萌　　　　　　　　,43.945,141.632,24,30,138,193,133,7,0,0,0,0,0,0,0,32,500
14071,厚田　　　　　　　　,43.397,141.437,5,30,226,269,248,28,0,0,0,0,0,0,3,67,816
14101,新篠津　　　　　　　,43.22,141.645,9,30,246,274,261,28,0,0,0,0,0,0,0,92,894
14121,石狩　　　　　　　　,43.193,141.37,5,30,217,277,250,30,0,0,0,0,0,0,0,35,794
14163,札幌　　　　　　　　,43.06,141.328,17,30,173,260,187,8,0,0,0,0,0,0,0,29,657
14191,小金湯　　　　　　　,42.963,141.217,230,30,262,281,288,57,0,0,0,0,0,0,0,67,949
14206,恵庭島松　　　　　　,42.927,141.565,30,30,103,221,135,0,0,0,0,0,0,0,0,15,458
14296,千歳　　　　　　　　,42.775,141.692,22,15,24,31,19,0,0,0,0,0,0,0,0,0,74
15041,朱鞠内　　　　　　　,44.282,142.162,255,30,310,283,310,268,34,0,0,0,0,0,49,280,1520
15076,幌加内　　　　　　　,44.01,142.16,159,30,309,283,310,193,4,0,0,0,0,0,36,252,1376
15161,深川　　　　　　　　,43.718,142.073,55,30,250,269,240,33,0,0,0,0,0,0,2,77,863
15241,滝川　　　　　　　　,43.57,141.938,50,30,256,274,261,38,0,0,0,0,0,0,2,108,930
15251,芦別　　　　　　　　,43.52,142.19,91,30,160,200,136,5,0,0,0,0,0,0,0,33,536
15321,美唄　　　　　　　　,43.363,141.827,16,30,243,249,225,20,0,0,0,0,0,0,2,110,842
15356,岩見沢　　　　　　　,43.212,141.785,42,30,240,260,221,21,0,0,0,0,0,0,2,83,819
15442,夕張　　　　　　　　,43.038,141.957,293,30,260,275,283,68,0,0,0,0,0,0,4,91,975
16076,余市　　　　　　　　,43.182,140.758,20,30,249,268,259,44,0,0,0,0,0,0,1,58,878
16091,小樽　　　　　　　　,43.182,141.015,25,30,237,275,251,27,0,0,0,0,0,0,0,42,833
16126,赤井川　　　　　　　,43.083,140.82,148,30,284,280,295,112,0,0,0,0,0,0,3,112,1085
16156,共和　　　　　　　　,42.98,140.603,15,30,224,234,178,10,0,0,0,0,0,0,1,69,719
16206,蘭越　　　　　　　　,42.81,140.542,39,30,239,267,255,34,0,0,0,0,0,0,0,65,857
16217,倶知安　　　　　　　,42.9,140.757,176,30,306,283,306,107,0,0,0,0,0,0,6,172,1177
16252,寿都　　　　　　　　,42.795,140.223,33,30,76,157,76,0,0,0,0,0,0,0,0,6,324
16286,喜茂別　　　　　　　,42.793,140.948,264,30,301,283,307,116,0,0,0,0,0,0,1,119,1123
16321,黒松内　　　　　　　,42.663,140.31,27,30,221,271,251,30,0,0,0,0,0,0,0,47,820
17036,雄武　　　　　　　　,44.58,142.963,14,30,68,131,99,3,0,0,0,0,0,0,1,13,319
17091,西興部　　　　　　　,44.332,142.935,120,30,198,257,250,32,0,0,0,0,0,0,4,43,784
17112,紋別　　　　　　　　,44.345,143.355,16,30,30,71,58,0,0,0,0,0,0,0,0,4,163
17116,紋別小向　　　　　　,44.303,143.403,18,13,111,165,148,6,0,0,0,0,0,0,0,18,464
17196,滝上　　　　　　　　,44.177,143.062,165,30,172,248,215,16,0,0,0,0,0,0,4,50,705
17306,遠軽　　　　　　　　,44.053,143.54,80,30,107,191,140,2,0,0,0,0,0,0,0,21,468
17316,佐呂間　　　　　　　,44.018,143.76,54,30,140,229,197,15,0,0,0,0,0,0,0,25,606
17341,網走　　　　　　　　,44.017,144.278,38,30,48,96,73,0,0,0,0,0,0,0,0,5,208
17351,宇登呂　　　　　　　,44.052,144.982,144,30,166,258,285,92,1,0,0,0,0,0,0,22,836
17482,白滝　　　　　　　　,43.865,143.153,475,28,125,204,209,19,0,0,0,0,0,0,0,28,597
17521,北見　　　　　　　　,43.777,143.842,104,30,96,156,127,3,0,0,0,0,0,0,0,19,424
17531,女満別　　　　　　　,43.88,144.163,33,15,25,62,49,0,0,0,0,0,0,0,0,7,143
17561,斜里　　　　　　　　,43.885,144.7,15,30,99,191,219,33,0,0,0,0,0,0,0,10,553
17596,留辺蘂　　　　　　　,43.742,143.45,325,30,79,146,136,5,0,0,0,0,0,0,0,21,390
17717,津別　　　　　　　　,43.702,144.033,100,30,125,196,138,2,0,0,0,0,0,0,0,19,480
18038,羅臼　　　　　　　　,44.023,145.187,15,16,98,140,151,25,0,0,0,0,0,0,0,6,419
18171,中標津　　　　　　　,43.543,144.978,50,30,60,157,144,14,0,0,0,0,0,0,0,1,376
18174,根室中標津　　　　　,43.577,144.96,65,15,19,114,124,9,0,0,0,0,0,0,0,0,266
18256,別海　　　　　　　　,43.382,145.118,23,30,24,87,87,3,0,0,0,0,0,0,0,1,206
18273,根室　　　　　　　　,43.33,145.585,25,30,1,1,6,2,0,0,0,0,0,0,0,0,10
18311,厚床　　　　　　　　,43.222,145.227,41,30,16,56,50,2,0,0,0,0,0,0,0,1,131
19021,川湯　　　　　　　　,43.617,144.457,158,30,148,240,229,59,0,0,0,0,0,0,0,21,720
19076,阿寒湖畔　　　　　　,43.437,144.083,426,30,192,262,283,98,0,0,0,0,0,0,0,38,864
19151,標茶　　　　　　　　,43.292,144.587,20,30,33,72,82,6,0,0,0,0,0,0,0,3,196
19191,鶴居　　　　　　　　,43.232,144.325,38,30,27,66,68,2,0,0,0,0,0,0,0,0,164
19261,中徹別　　　　　　　,43.198,144.142,80,30,63,122,97,6,0,0,0,0,0,0,0,4,292
19347,鶴丘　　　　　　　　,43.04,144.192,95,15,12,29,41,0,0,0,0,0,0,0,0,1,83
19376,太田　　　　　　　　,43.09,144.778,85,30,38,83,73,2,0,0,0,0,0,0,0,1,187
19416,白糠　　　　　　　　,42.97,144.062,9,30,8,32,46,1,0,0,0,0,0,0,0,0,86
19432,釧路　　　　　　　　,42.985,144.377,5,30,3,5,2,0,0,0,0,0,0,0,0,0,10
20146,陸別　　　　　　　　,43.472,143.753,210,30,85,147,125,1,0,0,0,0,0,0,0,20,378
20186,ぬかびら源泉郷　　　,43.367,143.192,540,30,186,255,259,72,0,0,0,0,0,0,0,53,826
20266,上士幌　　　　　　　,43.242,143.295,287,30,24,67,52,1,0,0,0,0,0,0,0,0,149
20341,本別　　　　　　　　,43.132,143.6,67,30,26,47,26,0,0,0,0,0,0,0,0,1,100
20356,新得　　　　　　　　,43.077,142.84,178,30,55,142,103,1,0,0,0,0,0,0,0,10,297
20421,芽室　　　　　　　　,42.9,143.043,90,30,91,170,117,2,0,0,0,0,0,0,0,19,399
20432,帯広　　　　　　　　,42.922,143.212,38,30,67,108,75,0,0,0,0,0,0,0,0,12,262
20506,浦幌　　　　　　　　,42.808,143.657,20,30,22,53,26,0,0,0,0,0,0,0,0,0,101
20551,帯広泉　　　　　　　,42.733,143.217,149,15,143,221,185,8,0,0,0,0,0,0,1,39,600
20601,上札内　　　　　　　,42.642,143.097,251,30,149,214,206,21,0,0,0,0,0,0,1,31,622
20696,大樹　　　　　　　　,42.5,143.273,87,30,132,227,189,12,0,0,0,0,0,0,0,23,582
20751,広尾　　　　　　　　,42.293,143.317,32,30,105,186,150,5,0,0,0,0,0,0,0,12,458
21031,安平　　　　　　　　,42.815,141.828,33,30,63,128,83,0,0,0,0,0,0,0,0,8,288
21126,穂別　　　　　　　　,42.762,142.143,56,30,32,78,34,0,0,0,0,0,0,0,0,1,148
21161,大滝　　　　　　　　,42.67,141.078,390,30,270,282,302,102,0,0,0,0,0,0,0,69,1018
21187,苫小牧　　　　　　　,42.623,141.547,6,30,0,2,0,0,0,0,0,0,0,0,0,0,2
21226,大岸　　　　　　　　,42.59,140.643,4,30,90,180,113,0,0,0,0,0,0,0,0,4,385
21261,白老　　　　　　　　,42.543,141.352,6,30,0,1,0,0,0,0,0,0,0,0,0,0,1
21312,登別　　　　　　　　,42.458,141.118,197,30,67,186,174,10,0,0,0,0,0,0,0,0,438
21323,室蘭　　　　　　　　,42.312,140.975,40,30,0,0,0,0,0,0,0,0,0,0,0,0,0
22036,日高　　　　　　　　,42.877,142.442,280,30,140,237,200,12,0,0,0,0,0,0,0,10,613
22106,旭　　　　　　　　　,42.628,142.393,245,17,14,44,21,0,0,0,0,0,0,0,0,0,84
22241,静内　　　　　　　　,42.343,142.362,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0
22306,中杵臼　　　　　　　,42.223,142.948,98,30,36,114,69,0,0,0,0,0,0,0,0,2,201
22327,浦河　　　　　　　　,42.162,142.777,37,30,0,0,0,0,0,0,0,0,0,0,0,0,0
22356,目黒　　　　　　　　,42.128,143.312,7,30,79,170,148,5,0,0,0,0,0,0,0,6,421
23031,長万部　　　　　　　,42.517,140.373,6,30,69,163,95,0,0,0,0,0,0,0,0,2,329
23086,八雲　　　　　　　　,42.252,140.272,8,30,94,197,108,0,0,0,0,0,0,0,0,5,404
23166,森　　　　　　　　　,42.067,140.588,125,19,67,130,75,0,0,0,0,0,0,0,0,5,283
23191,大沼　　　　　　　　,41.977,140.715,165,30,47,131,74,0,0,0,0,0,0,0,0,6,254
23232,函館　　　　　　　　,41.817,140.753,35,30,6,25,12,0,0,0,0,0,0,0,0,0,43
23281,高松　　　　　　　　,41.77,140.822,34,15,0,11,1,0,0,0,0,0,0,0,0,0,12
23356,千軒　　　　　　　　,41.558,140.272,100,30,220,275,262,43,0,0,0,0,0,0,0,24,824
24051,今金　　　　　　　　,42.428,140.008,19,30,163,244,181,5,0,0,0,0,0,0,0,14,607
24141,熊石　　　　　　　　,42.128,139.985,12,30,18,54,9,0,0,0,0,0,0,0,0,2,77
24201,鶉　　　　　　　　　,41.93,140.312,53,30,111,202,120,3,0,0,0,0,0,0,0,10,425
24217,江差　　　　　　　　,41.867,140.123,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0
31001,大間　　　　　　　　,41.527,140.912,14,30,0,3,1,0,0,0,0,0,0,0,0,0,4
31111,むつ　　　　　　　　,41.283,141.21,3,30,23,68,31,0,0,0,0,0,0,0,0,1,124
31136,今別　　　　　　　　,41.18,140.482,30,30,101,180,84,5,0,0,0,0,0,0,0,9,388
31156,脇野沢　　　　　　　,41.145,140.822,15,30,60,108,43,3,0,0,0,0,0,0,0,6,221
31296,五所川原　　　　　　,40.808,140.458,9,30,105,188,70,1,0,0,0,0,0,0,0,6,374
31312,青森　　　　　　　　,40.822,140.768,3,30,150,213,107,4,0,0,0,0,0,0,1,32,505
31366,鰺ケ沢　　　　　　　,40.777,140.205,40,30,41,56,19,0,0,0,0,0,0,0,0,3,119
31436,深浦　　　　　　　　,40.645,139.932,66,30,10,24,5,0,0,0,0,0,0,0,0,1,40
31461,弘前　　　　　　　　,40.612,140.455,30,30,109,195,96,2,0,0,0,0,0,0,0,13,422
31482,酸ケ湯　　　　　　　,40.648,140.848,890,30,308,282,308,295,162,2,0,0,0,0,44,257,1662
31586,十和田　　　　　　　,40.607,141.233,55,30,2,26,16,0,0,0,0,0,0,0,0,0,44
31602,八戸　　　　　　　　,40.527,141.522,27,30,1,1,1,0,0,0,0,0,0,0,0,0,2
31646,碇ケ関　　　　　　　,40.482,140.62,135,30,138,226,131,2,0,0,0,0,0,0,0,10,514
31721,三戸　　　　　　　　,40.383,141.257,60,30,3,16,14,0,0,0,0,0,0,0,0,0,33
32111,能代　　　　　　　　,40.198,140.032,6,30,15,14,1,0,0,0,0,0,0,0,0,2,32
32126,鷹巣　　　　　　　　,40.227,140.372,29,30,89,150,45,0,0,0,0,0,0,0,0,6,290
32146,鹿角　　　　　　　　,40.215,140.787,123,30,71,120,41,0,0,0,0,0,0,0,0,13,248
32296,五城目　　　　　　　,39.938,140.115,6,30,37,70,12,0,0,0,0,0,0,0,0,3,122
32311,阿仁合　　　　　　　,39.993,140.403,120,30,208,256,190,12,0,0,0,0,0,0,0,35,699
32402,秋田　　　　　　　　,39.717,140.098,6,30,12,11,1,0,0,0,0,0,0,0,0,3,28
32466,角館　　　　　　　　,39.603,140.557,56,30,161,230,148,5,0,0,0,0,0,0,0,20,549
32496,大正寺　　　　　　　,39.527,140.233,20,30,99,164,59,0,0,0,0,0,0,0,0,10,339
32571,本荘　　　　　　　　,39.36,140.055,11,30,9,8,1,0,0,0,0,0,0,0,2,0,19
32596,横手　　　　　　　　,39.32,140.555,59,30,202,236,126,1,0,0,0,0,0,0,1,47,604
32626,矢島　　　　　　　　,39.235,140.137,46,30,187,230,121,2,0,0,0,0,0,0,2,34,585
32691,湯沢　　　　　　　　,39.187,140.463,74,30,162,201,102,3,0,0,0,0,0,0,0,40,504
32771,湯の岱　　　　　　　,38.96,140.528,335,30,234,275,242,30,0,0,0,0,0,0,1,61,822
33071,二戸　　　　　　　　,40.298,141.298,87,30,2,4,5,0,0,0,0,0,0,0,0,0,13
33146,久慈　　　　　　　　,40.168,141.748,13,30,1,2,2,0,0,0,0,0,0,0,0,0,6
33176,奥中山　　　　　　　,40.06,141.225,430,30,134,237,147,3,0,0,0,0,0,0,0,14,536
33186,葛巻　　　　　　　　,40.04,141.457,418,30,19,18,9,0,0,0,0,0,0,0,0,1,41
33226,岩手松尾　　　　　　,39.952,141.065,275,30,5,7,0,0,0,0,0,0,0,0,0,0,12
33326,岩泉　　　　　　　　,39.847,141.795,105,30,1,6,5,0,0,0,0,0,0,0,0,0,13
33421,雫石　　　　　　　　,39.697,140.975,195,30,46,98,31,0,0,0,0,0,0,0,0,4,178
33431,盛岡　　　　　　　　,39.698,141.165,155,30,4,5,0,0,0,0,0,0,0,0,0,3,12
33441,区界　　　　　　　　,39.65,141.353,734,30,107,239,211,19,0,0,0,0,0,0,0,9,573
33472,宮古　　　　　　　　,39.647,141.965,43,30,0,0,1,0,0,0,0,0,0,0,0,0,1
33631,湯田　　　　　　　　,39.31,140.777,250,30,263,281,293,93,0,0,0,0,0,0,3,95,1041
33671,遠野　　　　　　　　,39.338,141.543,275,30,0,0,1,0,0,0,0,0,0,0,0,0,1
33716,北上　　　　　　　　,39.288,141.11,61,30,1,3,0,0,0,0,0,0,0,0,0,1,5
